Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 11:09:00 GMT+0530 (India Standard Time);49.95;50.3;46.15;46.15;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:10:00 GMT+0530 (India Standard Time);46.8;48.05;43.65;43.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:11:00 GMT+0530 (India Standard Time);44;46.3;43.6;45.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:12:00 GMT+0530 (India Standard Time);45.55;47.9;45.55;47.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:13:00 GMT+0530 (India Standard Time);47.55;47.85;46.35;47.5;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:14:00 GMT+0530 (India Standard Time);47.95;48.8;47.5;48.55;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:15:00 GMT+0530 (India Standard Time);48.6;48.6;47;47.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:16:00 GMT+0530 (India Standard Time);47.2;47.3;45.6;45.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:17:00 GMT+0530 (India Standard Time);45.75;45.95;44.1;44.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:18:00 GMT+0530 (India Standard Time);44.45;45.35;44.35;44.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:19:00 GMT+0530 (India Standard Time);44.85;45.05;42.4;43.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:20:00 GMT+0530 (India Standard Time);44;44.35;42.7;43.55;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:21:00 GMT+0530 (India Standard Time);43.55;44.1;42.65;44.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:22:00 GMT+0530 (India Standard Time);43.9;44.7;43.9;44.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:23:00 GMT+0530 (India Standard Time);44.1;44.5;43.5;44.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:24:00 GMT+0530 (India Standard Time);44.2;44.75;43.65;44.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:25:00 GMT+0530 (India Standard Time);44.55;44.65;44;44.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
